sheet,codigo,imagen_indice_en_hoja,archivo,sha256,width,height
E98,PC4,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E98,PC4,2,0771e89e4ae87c9a.png,0771e89e4ae87c9a54d2bb65806d44db6cb29ca13468c76ec426117b5aa04113,1306,854
E99,PC5,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E99,PC5,2,e34bf9da03ccd3bd.png,e34bf9da03ccd3bdb0b2e4884ba528335eee93206a902021a14dc72ac79abdab,1282,844
E100,PC6,1,3cf839f92029c22b.png,3cf839f92029c22b91b438dabcb2c05e5f8aef22928ea420693c2fabffe07b01,1226,853
E100,PC6,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E101,ABP2,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E101,ABP2,2,0d4d9f69b46e99be.png,0d4d9f69b46e99bec8a008a14df9c97f17f2cb5ee4b9634c02e6393fbffd6caa,1362,857
E102,ABP3,1,54c00ca810a201be.png,54c00ca810a201beba7a5328da32c5c63f6557d1c26b1c0f3c7ff91fa6539f0a,1311,862
E102,ABP3,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E103,ABP4,1,0a4e60f080899986.png,0a4e60f080899986441860bc8421ea0cf654e21e9ea8ce4ebdc20c6e9f562787,1295,868
E103,ABP4,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E104,ABP5,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E104,ABP5,2,79171d8c45ba324e.png,79171d8c45ba324e0b9ebb84cd40828247b4802740fc6e7a9fc590f21801ec9f,1292,860
E105,ABP6,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E105,ABP6,2,358d9e2c38286689.png,358d9e2c38286689248db44c845acad318107cc745588e9c634d451311c41ca1,1310,863
E106,ABP7,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E106,ABP7,2,8ac2be12126410cf.png,8ac2be12126410cff49a05f3813741d5e7ccf084f6d98adc1a503e6f45f0c9b1,1309,856
E107,ABP8,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E107,ABP8,2,b80a7a2c6fe2253f.png,b80a7a2c6fe2253ff42761faa6d42bb32a2e4863f5b4784b494edc5977b10eaa,1382,860
E108,ABP9,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E108,ABP9,2,23710503ed02a600.png,23710503ed02a600def1e4ec7f9717111553f2b16142ba3722569db57ba1d4b8,1250,858
E109,J1,1,0f08a3249716ce2e.png,0f08a3249716ce2ef1b0d3a5516be614c5071d68d6248aab4d0e575e183a9980,1251,871
E110,J2,1,522ce57e4ef136da.png,522ce57e4ef136da9a049cc9a97566f32f83398e05201696c9d11b1bdcc1a49f,492,735
E111,J3,1,6b9123646b1e36b7.png,6b9123646b1e36b70067685ac7994b9e333b2a32bedca4c6b1ff1893df8139a9,1148,738
E111,J3,2,f8778b34e272d57e.jpg,f8778b34e272d57ec87d59cbd6caf287463bdcb094704a81faca103fc4e37227,12,77
E112,J4,1,8a6d06292316f020.png,8a6d06292316f02064604f9a1d36810de95b19c94f01cd5e619e3b2a465653b1,608,660
E112,J4,2,f8778b34e272d57e.jpg,f8778b34e272d57ec87d59cbd6caf287463bdcb094704a81faca103fc4e37227,12,77
E113,J5,1,b0629c20dc71e964.png,b0629c20dc71e9646f966b81f43c6c2eebb059e7af4c719ecaf0171f64235241,1166,744
E113,J5,2,f8778b34e272d57e.jpg,f8778b34e272d57ec87d59cbd6caf287463bdcb094704a81faca103fc4e37227,12,77
E114,J6,1,c4df8eb1e2094a5b.png,c4df8eb1e2094a5bb721f5ad21e362962b918a24f3d119e93967cacaeef85d7a,1201,848
E114,J6,2,c7a3ebdf4ae55cd4.png,c7a3ebdf4ae55cd4c58600bcda94bf870dcd0ca09fcc9353898b2af56d3572b4,15,28
